Question,Answer
"""일반적으로 AI로 인정받는 첫 번째 작업은 누가 했나요?""",워렌 맥컬록과 월터 피츠 (1943).
첫 번째 인공지능으로 일반적으로 인정받는 작업의 형성에는 어떤 출처가 활용되었나요?,뇌의 뉴런에 대한 기본 생리학 및 기능에 대한 지식; 러셀과 화이트헤드에 의한 명제 논리의 정식 분석; 그리고 튜링의 계산 이론.
헤비안 학습 규칙은 누가 만들었나요?,"도널드 헵(Donald Hebb, 1949)."
첫 번째 신경망이 구축된 것은 언제인가요?,1950년.
첫 번째 신경망의 이름은 무엇인가요?,SNARC.
"""누가 튜링 테스트를 소개했나요?""",기계 학습
알란 튜링은 인간 수준의 인공지능을 만드는 데 어떤 방법을 선호했나요?,그는 기계의 지능을 수작업으로 프로그래밍하기보다는 학습 알고리즘을 개발한 후 기계를 가르치는 것을 선호합니다.
논리 이론가(LT)를 누가 발표했나요?,카네기 테크의 앨런 뉴웰과 허버트 사이먼.
General Problem Solver (GPS)는 무엇을 위해 설계되었나요?,GPS는 처음부터 인간의 문제 해결 프로토콜을 모방하도록 설계되었습니다.
"어떤 모델이 ""인간처럼 생각하기"" 접근 방식을 구현한 최초의 프로그램일 가능성이 있나요?",일반 문제 해결기 (GPS)
유명한 물리적 기호 시스템 가설을 제정한 사람은 누구인가요?,앨런 뉴웰과 허버트 사이먼.
물리적 상징 시스템 가설은 무엇을 주장하나요?,물리적 기호 시스템은 일반 지능 행동을 위한 필요하고 충분한 수단을 갖추고 있다.
"""누가 기하학 정리 증명기를 만들었나요?""",허버트 겔런터 (1959).
"""누구""","""체커 게임에서"""
고급 프로그래밍 언어 Lisp를 정의한 사람은 누구인가요?,존 맥카시.
"It seems like there was a typo in your request. If you're asking for the translation of ""What language,"" it would be ""어떤 언어"" in Korean. If you meant something else, please clarify!",1958년에
1965년에 1차 논리를 위한 완전한 정리 증명 알고리즘을 발견한 사람은 누구입니까?,J. A. 로빈슨의
1963년에 MIT의 1학년 대학교 과정에서 전형적인 폐쇄형 미적분 적분 문제를 해결할 수 있었던 프로그램은 무엇입니까?,제임스 슬레이글의 성인 프로그램
가장 유명한 마이크로 월드는 무엇인가요?,블록 세계.
퍼셉트론 수렴 정리는 무엇이라고 말하나요?,정리는 학습 알고리즘이 퍼셉트론의 연결 강도를 조정하여 어떤 입력 데이터와도 일치시킬 수 있다고 말합니다.
"책 ""Perceptrons"" (1969)에서는 무엇이 언급되었나요?","""퍼셉트론(신경망의 간단한 형태)은 그들이 표현할 수 있는 모든 것을 학습할 수 있다는 것을 보여줄 수 있었지만"""
1969년에 약한 방법이란 무엇인가요?,기초적인 추론 단계를 연결하여 완전한 해결책을 찾으려는 범용 검색 메커니즘.
1969년의 약한 방법들이 왜 약한 방법이라고 불리는가?,그들은 대규모 또는 어려운 문제 사례에 적합하지 않습니다.
"""DENDRAL 프로그램이 왜 강력한가요?""","""저자에 따르면?"""
어떤 프로그램이 첫 번째로 성공적인 지식 집약적 시스템인가요?,DENDRAL 프로그램.
지식 집약적 시스템이란 무엇인가요?,전문성이 다수의 특정 목적 규칙에서 파생된 시스템.
휴리스틱 프로그래밍 프로젝트(HPP)의 내용은 무엇인가요?,전문가 시스템의 새로운 방법론이 다른 분야에 얼마나 적용될 수 있는지를 조사하는 것입니다.
MYCIN 시스템은 어떤 기능을 기여하나요?,혈액 감염 진단.
MYCIN과 DENDRAL의 주요 차이점은 무엇인가요?,"""First"" in Korean is ""첫 번째""."
MYCIN이 통합한 불확실성 계산은 무엇인가요?,확실성 요인.
MYCIN에서 확실성 요인의 성능은 어떠합니까?,당시에는 의사들이 증거가 진단에 미치는 영향을 평가하는 방식과 잘 맞아 보였습니다.
어떤 시스템이 첫 번째로 성공적인 상업용 전문가 시스템인가요?,R1.
첫 번째 성공적인 상업용 전문 시스템은 어디에서 운영을 시작했습니까?,디지털 장비 회사 (맥더모트)
강력한 언어 이해에는 무엇이 필요합니까?,세상에 대한 일반 지식과 그 지식을 활용하는 일반적인 방법.
민스키의 프레임 개념(1975)은 무엇을 의미하나요?,특정 객체와 사건 유형에 대한 사실을 수집하고 이 유형들을 생물학적 분류와 유사한 대규모 분류 계층으로 배열하는 것.
1981년 일본 정부가 발표한 “제5세대” 프로젝트의 내용은 무엇인가요?,"""대규모 병렬 처리를 구축하기 위한 10년 계획"""
"""AI 겨울""의 원인은 무엇인가요?",많은 회사들이 화려한 약속을 이행하지 못해 도중에 실패했습니다.
"""왜""",1988년 이후
"""누가 기호를 '알의 빛나는 에테르'라고 표현했습니까?""",제프 힌턴
“Geoff Hinton의 'luminiferous aether of Al'는 무엇을 의미합니까?”,19세기 많은 물리학자들이 전자기파가 전파된다고 믿었던 존재하지 않는 매체에 대한 언급.
연결주의 모델이 실제 세계의 복잡성에 더 잘 적응하는 이유는 무엇인가요?,내부 개념을 더 유동적이고 불확실한 방식으로 형성합니다.
전문 시스템의 취약성이 어떤 접근 방식을 이끌었나요?,"""불리언 로직이 아닌 확률을 포함하는 접근 방식입니다."""
음성 인식 분야를 지배하는 접근 방식은 무엇입니까?,숨겨진 마르코프 모델(HMMs)을 사용하는 접근법.
HMM의 특징은 음성 인식 분야에서 무엇인가요?,"""첫번째"""
AI와 다른 분야 간의 연결에 있어 중요한 해는 어느 해인가요?,1988
1998년에,"""AI는 어떤 분야와 연결되어 있나요?"""
어떤 연구가 인공지능에서 확률과 의사결정 이론에 대한 새로운 수용으로 이어졌나요?,주디아 펄 (1988).
펄의 베이지안 네트워크 개발은 무엇을 이끌어냈나요?,이는 불확실한 지식을 표현하기 위한 엄격하고 효율적인 형식과 확률적 추론을 위한 실용적인 알고리즘을 제공합니다.
리치 서튼이 1988년에 한 주요 기여는 무엇인가요?,강화 학습을 운영 연구 분야에서 발전된 마르코프 결정 과정(MDP) 이론과 연결합니다.
빅 데이터 현상을 촉진한 발전은 어떤 것들이 있었나요?,컴퓨팅 파워의 놀라운 발전과 월드 와이드 웹의 창조.
누가 데이터 세트의 크기를 두세 배로 늘림으로써 얻는 성능 개선이 알고리즘을 조정하여 얻을 수 있는 개선보다 더 크다고 주장했습니까?,Banko와 Brill (2001)
누가 비슷한 이미지에서 픽셀을 혼합하여 사진의 구멍을 채우는 기발한 방법을 개발했습니까?,헤이즈와 에프로스 (2007).
"""딥 러닝""이라는 용어는 무엇을 의미하나요?","""여러 개의 간단한 층을 사용하는 기계 학습을 의미합니다."""
1990년대에 손글씨 숫자 인식에서 어느 방법이 일부 성공을 거두었습니까?,컨볼루션 신경망
딥 네트워크는 알파고가 최고의 인간 바둑 기사들을 이기는 데 어떻게 기여했나요?,평가 함수를 나타내는.
Ford(2018)가 AI 전문가들과의 인터뷰에서 AI 시스템이 다양한 작업에서 인간 수준의 성능을 언제(혹은 결코) 달성할 것인지에 대한 질문에 대해 무엇이라고 말했나요?,"2099 in Korean is ""2099년""."
미국 군대가 운송을 위한 자동 물류 계획 및 일정을 수행하기 위해 사용하는 시스템은 무엇인가요?,"""동적 분석 및 재계획 도구"""
1997년에 세계 체스 챔피언 가리 카스파로프를 이긴 AI 시스템은 무엇인가요?,딥 블루
세계 바둑 챔피언 게제를 이긴 AI 시스템은 무엇인가요?,알파고
ALPHAZERO는 무엇을 할 수 있나요?,"""인간의 입력은 전혀 사용하지 않았습니다 (게임의 규칙을 제외하고)."""
"""딥 러닝 모델은 무엇인가요?""",2018 고든 벨 상을 수상한
"""누가 '기계 예술은 모호한 용도로 사용된다'고 언급했는가?""","""상처를 치유하는 데에도, 아픔을 주는 데에도 사용된다."""
“기계 예술은 애매한 용도이다”라는 진술은 어디에서 유래하는가?,"""상처를 치유하는 것뿐만 아니라 상처를 주는 역할도 한다""는 점이 주목될 수 있을까?"
"""누가 '먼저 AI를 해결하라'고 제안했나요?""","그럼 인공지능을 사용하여 나머지 모든 것을 해결하세요."""
"""유엔은 '치명적인 자율 무기'를 어떻게 정의하나요?""","""위치를 파악할 수 있는 무기"""
AI 개발 시 우리가 직면할 수 있는 가능한 위험은 무엇인가요?,"""치명적인 자율무기"""
"누가 더 넓은 목표의 범위를 상기시키고, 하위 분야가 스스로 목적이 될 위험이 있다고 경고했습니까?",닐스 닐손 (1995)
아서 사무엘의 체커 게임 프로그램이 창조자를 이기는 방법을 배우는 것을 보고 인공지능의 장기적인 미래를 고려하게 된 사람은 누구인가요?,노버트 위너
Kind Midas 문제는 무엇을 의미하나요?,"""Midas"" in Korean is ""마이더스""."
"""대리인의 정의는 무엇인가요?""","상황을 감지하는 센서를 통해 환경을 인식하고, 그 환경에 대해 액추에이터를 통해 행동하는 것으로 바라볼 수 있는 모든 것."
"""percept""라는 단어는 무엇을 의미하나요?",이것은 에이전트의 센서가 감지하고 있는 내용을 나타냅니다.
에이전트의 지각 순서는 무엇인가요?,대리가 지금까지 인식한 모든 것에 대한 완전한 역사.
"""일반적으로""","""대리인의 특정 순간에 행동 선택은 무엇에 따라 달라지나요?"""
대리인의 행동에 대해 수학적으로 무엇을 말할 수 있을까요?,대리인의 행동은 주어진 지각 시퀀스를 행동으로 매핑하는 대리인 함수에 의해 설명됩니다.
AI는 어떻게 결과주의에 얽매여 있는가?,우리는 에이전트의 행동을 그 결과로 평가합니다.
AI 모델의 결과주의와 관련된 바람직함을 어떻게 포착할 수 있을까요?,환경 상태의 특정 순서를 평가하는 성능 측정에 의해 포착될 수 있습니다.
인간과 기계의 바람직함에서의 차이는 무엇인가요?,"""인간은 자신의 관점에서 그것을 측정합니다."""
