Model Name,File Name,Question,Choices,Model Response,Correct Answer,Predicted Answer
gpt-4o,./data/data_BDA.json,다음 중 선형회귀와 로지스틱 회귀에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 선형회귀에서 잔차는 정규분포를 따른다.
2번 - 선형회귀는 독립변수를 사용해 종속변수의 움직임을 예측한다.
3번 - 로지스틱 회귀는 종속변수가 이진이며 분류에 사용한다.
4번 - 선형회귀에서 로짓 변환을 사용한다.",선택지 4: 선형회귀에서 로짓 변환을 사용한다.,4,4
gpt-4o,./data/data_BDA.json,종속변수가 범주형이고 독립변수가 수치형 변수 여러 개로 이루어진 변수 간의 관계를 분석하기 위해 적용할 수 있는 알고리즘으로 올바른 것은?,"선택지:
1번 - 로지스틱 회귀 분석
2번 - k-평균 군집
3번 - 주성분 분석
4번 - DBSCAN",1. 로지스틱 회귀 분석,1,1
gpt-4o,./data/data_BDA.json,다음 중 로지스틱 회귀분석에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 독립변수가 범주형이다.
2번 - 종속변수는 0과 1이다.
3번 - 로짓 변환을 사용한다.
4번 - 시그모이드 함수를 사용한다.",1. 독립변수가 범주형이다.,1,1
gpt-4o,./data/data_BDA.json,서포트 벡터 머신에 대한 설명으로 옳지 않은 것은?,"선택지:
1번 - 데이터 세트의 크기가 클 경우 최적화를 위한 평가 과정이 줄어들어 속도가 빠르다.
2번 - 다른 모형보다 과대적합에 강하다.
3번 - 비선형으로 분류되는 모형에 사용할 수 있다.
4번 - 서포트 벡터가 여러 개일 수 있다.",1. 데이터 세트의 크기가 클 경우 최적화를 위한 평가 과정이 줄어들어 속도가 빠르다.,1,1
gpt-4o,./data/data_BDA.json,다음 중 k-평균 군집 알고리즘을 통해 k 값을 구하는 기법은 무엇인가?,"선택지:
1번 - k-Centroid 기법
2번 - 최장 연결법
3번 - 엘보우 기법
4번 - 역전파 알고리즘",3. 엘보우 기법,3,3
gpt-4o,./data/data_BDA.json,다음 중 SVM 가우시안 커널(Gaussian Kernel)에 대한 설명으로 가장 옳지 않은 것은 무엇인가?,"선택지:
1번 - 비선형 데이터가 있는 경우에 일반적으로 활용된다.
2번 - 2차원의 점을 1차원의 점으로 변환한다.
3번 - 가장 많이 사용되는 커널이다.
4번 - 데이터에 대한 사전 지식이 없는 경우 적절하게 분리할 때 활용된다.",2차원의 점을 1차원의 점으로 변환한다.,2,2
gpt-4o,./data/data_BDA.json,소프트맥스 함수에 대한 설명으로 가장 올바르지 않은 것은?,"선택지:
1번 - 출력값은 0에서 1 사이의 실수이다.
2번 - 분산 1이 된다.
3번 - 출력값을 확률로 해석할 수 있다.
4번 - 출력값의 총합이 1이 된다.",분산 1이 된다.,2,2
gpt-4o,./data/data_BDA.json,다음 중 활성화 함수에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 하이퍼볼릭 탄젠트는 -1에서 1의 값을 가진다.
2번 - 부호 함수는 임곗값을 기준으로 활성화 또는 비활성화가 된다.
3번 - ReLU 함수는 시그모이드의 기울기 소실 문제를 해결하였다.
4번 - 시그모이드 함수 입력값이 0일 때, 미분 값은 0.25이다.","4. 시그모이드 함수 입력값이 0일 때, 미분 값은 0.25이다.",2,4
gpt-4o,./data/data_BDA.json,범주형 데이터를 분류할 수 없는 것은?,"선택지:
1번 - 인공신경망
2번 - 의사결정나무
3번 - 선형 회귀 분석
4번 - SVM",3: 선형 회귀 분석,3,3
gpt-4o,./data/data_BDA.json,의사결정나무의 분석 과정으로 가장 알맞지 않은 것은?,"선택지:
1번 - 데이터의 분류 및 예측에 활용한다.
2번 - 부적절한 나뭇가지는 가지치기로 제거한다.
3번 - 분석의 목적과 자료 구조에 따라서 적절한 분리 기준으로 마지막 끝 마디까지 생성한다.
4번 - 이익, 위험, 비용 등을 고려하여 모형을 평가한다.",이 문제의 답은 3입니다: 분석의 목적과 자료 구조에 따라서 적절한 분리 기준으로 마지막 끝 마디까지 생성한다.,3,3
