Model Name,File Name,Question,Choices,Model Response,Correct Answer
gpt-3.5-turbo,./data/data_BDA.json,다음 중 선형회귀와 로지스틱 회귀에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 선형회귀에서 잔차는 정규분포를 따른다.
2번 - 선형회귀는 독립변수를 사용해 종속변수의 움직임을 예측한다.
3번 - 로지스틱 회귀는 종속변수가 이진이며 분류에 사용한다.
4번 - 선형회귀에서 로짓 변환을 사용한다.",선형회귀에서 로짓 변환을 사용한다.,4
gpt-3.5-turbo,./data/data_BDA.json,종속변수가 범주형이고 독립변수가 수치형 변수 여러 개로 이루어진 변수 간의 관계를 분석하기 위해 적용할 수 있는 알고리즘으로 올바른 것은?,"선택지:
1번 - 로지스틱 회귀 분석
2번 - k-평균 군집
3번 - 주성분 분석
4번 - DBSCAN",1. 로지스틱 회귀 분석,1
gpt-3.5-turbo,./data/data_BDA.json,다음 중 로지스틱 회귀분석에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 독립변수가 범주형이다.
2번 - 종속변수는 0과 1이다.
3번 - 로짓 변환을 사용한다.
4번 - 시그모이드 함수를 사용한다.",2. 종속변수는 0과 1이다.,1
gpt-3.5-turbo,./data/data_BDA.json,서포트 벡터 머신에 대한 설명으로 옳지 않은 것은?,"선택지:
1번 - 데이터 세트의 크기가 클 경우 최적화를 위한 평가 과정이 줄어들어 속도가 빠르다.
2번 - 다른 모형보다 과대적합에 강하다.
3번 - 비선형으로 분류되는 모형에 사용할 수 있다.
4번 - 서포트 벡터가 여러 개일 수 있다.",1. 데이터 세트의 크기가 클 경우 최적화를 위한 평가 과정이 줄어들어 속도가 빠르다.,1
gpt-3.5-turbo,./data/data_BDA.json,다음 중 k-평균 군집 알고리즘을 통해 k 값을 구하는 기법은 무엇인가?,"선택지:
1번 - k-Centroid 기법
2번 - 최장 연결법
3번 - 엘보우 기법
4번 - 역전파 알고리즘","답은 ""엘보우 기법""입니다.",3
gpt-3.5-turbo,./data/data_BDA.json,다음 중 SVM 가우시안 커널(Gaussian Kernel)에 대한 설명으로 가장 옳지 않은 것은 무엇인가?,"선택지:
1번 - 비선형 데이터가 있는 경우에 일반적으로 활용된다.
2번 - 2차원의 점을 1차원의 점으로 변환한다.
3번 - 가장 많이 사용되는 커널이다.
4번 - 데이터에 대한 사전 지식이 없는 경우 적절하게 분리할 때 활용된다.",2차원의 점을 1차원의 점으로 변환한다.,2
gpt-3.5-turbo,./data/data_BDA.json,소프트맥스 함수에 대한 설명으로 가장 올바르지 않은 것은?,"선택지:
1번 - 출력값은 0에서 1 사이의 실수이다.
2번 - 분산 1이 된다.
3번 - 출력값을 확률로 해석할 수 있다.
4번 - 출력값의 총합이 1이 된다.",2. 분산 1이 된다.,2
gpt-3.5-turbo,./data/data_BDA.json,다음 중 활성화 함수에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 하이퍼볼릭 탄젠트는 -1에서 1의 값을 가진다.
2번 - 부호 함수는 임곗값을 기준으로 활성화 또는 비활성화가 된다.
3번 - ReLU 함수는 시그모이드의 기울기 소실 문제를 해결하였다.
4번 - 시그모이드 함수 입력값이 0일 때, 미분 값은 0.25이다.",3. ReLU 함수는 시그모이드의 기울기 소실 문제를 해결하였다.,2
gpt-3.5-turbo,./data/data_BDA.json,범주형 데이터를 분류할 수 없는 것은?,"선택지:
1번 - 인공신경망
2번 - 의사결정나무
3번 - 선형 회귀 분석
4번 - SVM",정답은 선형 회귀 분석입니다.,3
gpt-3.5-turbo,./data/data_BDA.json,의사결정나무의 분석 과정으로 가장 알맞지 않은 것은?,"선택지:
1번 - 데이터의 분류 및 예측에 활용한다.
2번 - 부적절한 나뭇가지는 가지치기로 제거한다.
3번 - 분석의 목적과 자료 구조에 따라서 적절한 분리 기준으로 마지막 끝 마디까지 생성한다.
4번 - 이익, 위험, 비용 등을 고려하여 모형을 평가한다.","4. 이익, 위험, 비용 등을 고려하여 모형을 평가한다.",3
gpt-3.5-turbo,./data/data_BDA.json,인공신경망에 대한 설명으로 가장 알맞지 않은 것은?,"선택지:
1번 - 인공신경망에서 역전파는 입력층(Input Layer)에서 출력층(Output Layer)까지 정보가 전달되는 과정이다.
2번 - 인공신경망은 입력값을 받아서 출력값을 만들기 위해 촬성화 함수를 사용한다.
3번 - 인공신경망은 사람 두뇌의 신경세포인 뉴런이 전기신호를 전달하는 모습을 모방한 기계학습 모델이다.
4번 - 활성화 함수는 순 입력함수로부터 전달받은 값을 출력값으로 변환해 주는 함수이다.",1. 인공신경망에서 역전파는 입력층(Input Layer)에서 출력층(Output Layer)까지 정보가 전달되는 과정이다.,1
gpt-3.5-turbo,./data/data_BDA.json,활성화 함수 중 단층 신경망에서 해결할 수 없는 것은?,"선택지:
1번 - AND
2번 - OR
3번 - NOR
4번 - XOR",답: XOR,4
gpt-3.5-turbo,./data/data_BDA.json,로지스틱 회귀 모형에 대한 설명으로 옳은 것은?,"선택지:
1번 - 설명변수가 한 개인 경우 종형 그래프를 가진다.
2번 - 설명변수는 모두 연속형이어야 한다.
3번 - 연속형 반응변수에 대해서도 적용할 수 있다.
4번 - 분류의 목적으로 사용될 수 있다.",4. 분류의 목적으로 사용될 수 있다.,4
gpt-3.5-turbo,./data/data_BDA.json,딥러닝에 대한 설명으로 옳은 것은?,"선택지:
1번 - 오차역전파를 사용한다.
2번 - ReLU보다 Sigmoid를 사용한다.
3번 - 딥러닝은 각 은닉층의 가중치를 통해 모형의 결과를 해석하기 용이하다.
4번 - Dropout은 무작위 비율로 신경망을 제거한다.","답은 ""오차역전파를 사용한다.""입니다.",1
gpt-3.5-turbo,./data/data_BDA.json,PCA에 대한 설명으로 옳지 않은 것은?,"선택지:
1번 - 차원 축소는 고윳값이 낮은 순으로 정렬해서, 높은 고윳값을 가진 고유벡터만으로 데이터를 복원한다.
2번 - 변동 폭이 작은 축을 선택한다.
3번 - 축들은 서로 직교되어 있다.
4번 - 주성분은 상관성이 높은 변수들을 요약, 축소하는 기법이다.","1. 차원 축소는 고윳값이 낮은 순으로 정렬해서, 높은 고윳값을 가진 고유벡터만으로 데이터를 복원한다.",2
gpt-3.5-turbo,./data/data_BDA.json,"CNN에서 원본 이미지가 5X5에서 Stride가 1이고, 필터가 3X3일 때 Feature Map은 무엇인가?","선택지:
1번 - (1,1)
2번 - (2,2)
3번 - (3,3)
4번 - (4,4)","(3,3)",3
gpt-3.5-turbo,./data/data_BDA.json,랜덤 포레스트에 대한 설명으로 적절하지 않은 것은?,"선택지:
1번 - 훈련을 통해 구성해놓은 다수의 나무들로부터 투표를 통해 분류 결과를 도출한다.
2번 - 분류기를 여러 개 쓸수록 성능이 좋아진다.
3번 - 트리의 수가 많아지면 Overfit 된다.
4번 - 여러 개의 의사결정 트리가 모여서 랜덤 포레스트 구조가 된다.",3. 트리의 수가 많아지면 Overfit 된다.,3
gpt-3.5-turbo,./data/data_BDA.json,"다음 중 훈련 데이터에서 다수의 부트스트랩(Bootstrap)자료를 생성하고, 각 자료를 모델링한 후 결합하여 최종 예측 모형을 만드는 앙상블 기법으로 가장 알맞은 것은?","선택지:
1번 - 배깅
2번 - 부스팅
3번 - 보팅
4번 - 의사결정나무",답은 1. 배깅입니다.,1
gpt-3.5-turbo,./data/data_BDA.json,다음 중 은닉층이 순환적으로 연결된 것은 무엇인가?,"선택지:
1번 - CNN
2번 - ANN
3번 - RNN
4번 - DNN",답은 3. RNN입니다.,3
gpt-3.5-turbo,./data/data_BDA.json,다음 중 심층신경망에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 은닉층이 1개 존재한다.
2번 - 오차 역전파를 사용한다.
3번 - 시그모이드는 오차 역전파로 결과 해석이 어렵다.
4번 - 은닉층(Hidden Layer)를 심층(Deep)으로 구성한다.",3. 시그모이드는 오차 역전파로 결과 해석이 어렵다.,1
gpt-3.5-turbo,./data/data_BDA.json,배깅에 대한 설명으로 알맞지 않은 것은?,"선택지:
1번 - 편향이 낮은 과소적합 모델에 효과적이다.
2번 - 편향이 높은 과대적합 모델에 효과적이다.
3번 - 훈련 데이터에서 다수의 부트스트랩 자료를 생성하고 각 부트스트랩 자료를 결합하여 최종 예측 모형을 만드는 알고리즘이다.
4번 - 가중치를 활용하여 약 분류기를 강 분류기로 만드는 방법이다.",2. 편향이 높은 과대적합 모델에 효과적이다.,4
gpt-3.5-turbo,./data/data_BDA.json,차원 축소 기법인 PCA(Principal Component Analysis)에 대한 설명으로 가장 올바르지 않은 것은?,"선택지:
1번 - 선형 결합한다.
2번 - 변동이 큰 축을 기준으로 한 차원씩 선택한다.
3번 - 이산형 변수에 사용할 수 있다.
4번 - 차원 축소를 통해 원본 데이터를 직관적으로 파악할 수 있다.",3. 이산형 변수에 사용할 수 있다.,4
gpt-3.5-turbo,./data/data_BDA.json,주성분 분석에 대한 설명으로 옳지 않은 것은?,"선택지:
1번 - 주성분 분석은 서로 상관성이 높은 변수들의 선형 결합으로 만들어 기존의 상관성이 높은 변수들을 요약, 축소하는 기법이다.
2번 - 분산이 가장 작은 것을 제1 주성분으로 한다.
3번 - 주성분 분석은 고윳값, 고유벡터를 통해 분석한다.
4번 - 주성분 분석의 목적 중 하나는 데이터를 이해하기 위한 차원 축소이다.",2. 분산이 가장 작은 것을 제1 주성분으로 한다.,2
gpt-3.5-turbo,./data/data_BDA.json,다음 중 앙상블에서 베이스 모형의 독립성을 최적화하기 위한 방법으로 가장 알맞지 않은 것은?,"선택지:
1번 - 입력변수를 다양하게 한다.
2번 - 테스트 데이터를 다르게 한다.
3번 - 서로 다른 알고리즘을 사용한다.
4번 - 초매개변수를 다양하게 한다.",답: 테스트 데이터를 다르게 한다.,2
gpt-3.5-turbo,./data/data_BDA.json,다음 중 순환 신경망(RNN)에서 발생하는 GV(기울기 소실) GE(기울기 폭발)에 대한 설명으로 가장 알맞은 것은?,"선택지:
1번 - 기울기 클리핑(Gradient Clipping)은 기울기 소실을 막기 위해 기울기 값을 자르는 방법이다.
2번 - 기울기 소실이란 오차역전파 과정에서 입력층으로 갈수록 가중치에 따른 결괏값의 기울기가 작아져 0에 수렴하는 문제이다.
3번 - RNN은 LSTM(Long Short Term Memory)의 장기의존성 문제를 보완하기 위한 알고리즘이다.
4번 - 순환 신경망은 입력 게이트, 망각 게이트, 출력 게이트로 구성된다.",2. 기울기 소실이란 오차역전파 과정에서 입력층으로 갈수록 가중치에 따른 결괏값의 기울기가 작아져 0에 수렴하는 문제이다.,2
gpt-3.5-turbo,./data/data_BDA.json,오토인코더에 대한 설명으로 가장 알맞지 않은 것은?,"선택지:
1번 - 비지도학습 신경망이다.
2번 - 인코더는 차원 축소의 역할을 한다.
3번 - 입력층 노드 개수는 출력층 노드 개수보다 커야한다.
4번 - 인코드 입력 노드 개수는 디코드 출력 노드 개수와 동일하다.",3. 입력층 노드 개수는 출력층 노드 개수보다 커야한다.,3
gpt-3.5-turbo,./data/data_BDA.json,주성분 분석(PCA)에 대한 설명으로 옳지 않은 것은?,"선택지:
1번 - 대표적인 차원 축소 방법이다.
2번 - 고윳값 분해와 특이값 분해 등의 수학적 행렬 분해를 이용한다.
3번 - 고차원 데이터를 저차원 데이터로 직교 변환한다.
4번 - 원본 비음수 행렬은 비음수 행렬의 곱으로 표현한다.",4. 원본 비음수 행렬은 비음수 행렬의 곱으로 표현한다.,4
gpt-3.5-turbo,./data/data_BDA.json,다음 중 RNN의 장기 의존성 문제를 해결하였으며 리셋 게이트와 업데이트 게이트로 구성된 모형은 무엇인가?,"선택지:
1번 - 단방향 RNN
2번 - 양방향 RNN
3번 - LSTM
4번 - GRU",답은 LSTM입니다. 3번 선택지.,4
gpt-3.5-turbo,./data/data_BDA.json,다음 중 자연어 처리(NLP) 기법으로 가장 적합하지 않은 것은?,"선택지:
1번 - ELMo
2번 - GPT
3번 - BERT
4번 - YOLO",4. YOLO,4
gpt-3.5-turbo,./data/data_BDA.json,딥러닝의 트랜스포머(Transformer)의 구성요소로 가장 알맞지 않은 것은?,"선택지:
1번 - 망각 게이트
2번 - 셀프 어텐션
3번 - 멀티헤드 셀프 어텐션
4번 - 포지셔널 인코딩",답: 1. 망각 게이트,1
