Model Name,File Name,Question,Choices,Model Response,Correct Answer
gpt-4,./data/data_BDA.json,다음 중 선형회귀와 로지스틱 회귀에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 선형회귀에서 잔차는 정규분포를 따른다.
2번 - 선형회귀는 독립변수를 사용해 종속변수의 움직임을 예측한다.
3번 - 로지스틱 회귀는 종속변수가 이진이며 분류에 사용한다.
4번 - 선형회귀에서 로짓 변환을 사용한다.",4. 선형회귀에서 로짓 변환을 사용한다.,4
gpt-4,./data/data_BDA.json,종속변수가 범주형이고 독립변수가 수치형 변수 여러 개로 이루어진 변수 간의 관계를 분석하기 위해 적용할 수 있는 알고리즘으로 올바른 것은?,"선택지:
1번 - 로지스틱 회귀 분석
2번 - k-평균 군집
3번 - 주성분 분석
4번 - DBSCAN",정답은 로지스틱 회귀 분석입니다.,1
gpt-4,./data/data_BDA.json,다음 중 로지스틱 회귀분석에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 독립변수가 범주형이다.
2번 - 종속변수는 0과 1이다.
3번 - 로짓 변환을 사용한다.
4번 - 시그모이드 함수를 사용한다.","1. 독립변수가 범주형이다. 

로지스틱 회귀는 독립변수가 숫자값(연속형)일 수도 있고, 범주형일 수도 있습니다. 독립변수가 범주형이라고 해서 로지스틱 회귀를 사용할 수 없다는 것은 잘못된 전제입니다. 그래서 이 선택지는 로지스틱 회귀에 대한 설명으로 부적절합니다.",1
gpt-4,./data/data_BDA.json,서포트 벡터 머신에 대한 설명으로 옳지 않은 것은?,"선택지:
1번 - 데이터 세트의 크기가 클 경우 최적화를 위한 평가 과정이 줄어들어 속도가 빠르다.
2번 - 다른 모형보다 과대적합에 강하다.
3번 - 비선형으로 분류되는 모형에 사용할 수 있다.
4번 - 서포트 벡터가 여러 개일 수 있다.","1번 선택지인 ""데이터 세트의 크기가 클 경우 최적화를 위한 평가 과정이 줄어들어 속도가 빠르다.""가 옳지 않습니다. 사실은 반대로, 서포트 벡터 머신의 알고리즘은 데이터 세트가 크면 커질수록 계산 복잡성이 증가하며, 따라서 실행 시간이 오래 걸립니다.",1
gpt-4,./data/data_BDA.json,다음 중 k-평균 군집 알고리즘을 통해 k 값을 구하는 기법은 무엇인가?,"선택지:
1번 - k-Centroid 기법
2번 - 최장 연결법
3번 - 엘보우 기법
4번 - 역전파 알고리즘",답: 3. 엘보우 기법,3
gpt-4,./data/data_BDA.json,다음 중 SVM 가우시안 커널(Gaussian Kernel)에 대한 설명으로 가장 옳지 않은 것은 무엇인가?,"선택지:
1번 - 비선형 데이터가 있는 경우에 일반적으로 활용된다.
2번 - 2차원의 점을 1차원의 점으로 변환한다.
3번 - 가장 많이 사용되는 커널이다.
4번 - 데이터에 대한 사전 지식이 없는 경우 적절하게 분리할 때 활용된다.","선택지 중 ""2차원의 점을 1차원의 점으로 변환한다.""가 가장 옳지 않은 설명입니다. SVM 가우시안 커널은 일반적으로 고차원으로 매핑하여 데이터를 선형으로 분리 가능하도록 변경하는데 사용됩니다. 이는 2차원을 1차원으로 감소시키는 것이 아니라, 오히려 더 높은 차원으로 매핑하는 것을 의미합니다.",2
gpt-4,./data/data_BDA.json,소프트맥스 함수에 대한 설명으로 가장 올바르지 않은 것은?,"선택지:
1번 - 출력값은 0에서 1 사이의 실수이다.
2번 - 분산 1이 된다.
3번 - 출력값을 확률로 해석할 수 있다.
4번 - 출력값의 총합이 1이 된다.","답은 2번, '분산 1이 된다.'입니다. 소프트맥스 함수의 결과값은 확률적으로 해석할 수 있고 모든 출력값의 총합은 1이지만, 그 분산이 꼭 1이 되는 것은 아닙니다.",2
gpt-4,./data/data_BDA.json,다음 중 활성화 함수에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 하이퍼볼릭 탄젠트는 -1에서 1의 값을 가진다.
2번 - 부호 함수는 임곗값을 기준으로 활성화 또는 비활성화가 된다.
3번 - ReLU 함수는 시그모이드의 기울기 소실 문제를 해결하였다.
4번 - 시그모이드 함수 입력값이 0일 때, 미분 값은 0.25이다.","정답은 4번, '시그모이드 함수의 입력값이 0일 때, 미분 값은 0.25이다'입니다. 실제로 시그모이드 함수의 미분 값은 최대치에서도 0.25가 아니며, 입력값이 0일때는 약 0.25입니다.",2
gpt-4,./data/data_BDA.json,범주형 데이터를 분류할 수 없는 것은?,"선택지:
1번 - 인공신경망
2번 - 의사결정나무
3번 - 선형 회귀 분석
4번 - SVM",선형 회귀 분석,3
gpt-4,./data/data_BDA.json,의사결정나무의 분석 과정으로 가장 알맞지 않은 것은?,"선택지:
1번 - 데이터의 분류 및 예측에 활용한다.
2번 - 부적절한 나뭇가지는 가지치기로 제거한다.
3번 - 분석의 목적과 자료 구조에 따라서 적절한 분리 기준으로 마지막 끝 마디까지 생성한다.
4번 - 이익, 위험, 비용 등을 고려하여 모형을 평가한다.",질문의 내용을 제공하지 않았기에 아래 선택 목록 중 어떤 것이 주어진 질문에 가장 알맞은 답인지 판단할 수 없습니다. 다시 질문을 제공해주시면 감사하겠습니다.,3
gpt-4,./data/data_BDA.json,인공신경망에 대한 설명으로 가장 알맞지 않은 것은?,"선택지:
1번 - 인공신경망에서 역전파는 입력층(Input Layer)에서 출력층(Output Layer)까지 정보가 전달되는 과정이다.
2번 - 인공신경망은 입력값을 받아서 출력값을 만들기 위해 촬성화 함수를 사용한다.
3번 - 인공신경망은 사람 두뇌의 신경세포인 뉴런이 전기신호를 전달하는 모습을 모방한 기계학습 모델이다.
4번 - 활성화 함수는 순 입력함수로부터 전달받은 값을 출력값으로 변환해 주는 함수이다.","선택 1. 인공신경망에서 역전파는 입력층(Input Layer)에서 출력층(Output Layer)까지 정보가 전달되는 과정이다. 

이가 설명이 부정확합니다. 역전파는 신경망 학습에서 출력층에서 발생한 오차를 입력층 방향으로 역방향으로 전파하여 가중치를 업데이트하는 기법을 의미합니다. 따라서 '입력층에서 출력층으로 정보가 전달되는 과정'이 아니라, '출력층에서 입력층으로 오차 정보가 전달되는 과정'입니다.",1
gpt-4,./data/data_BDA.json,활성화 함수 중 단층 신경망에서 해결할 수 없는 것은?,"선택지:
1번 - AND
2번 - OR
3번 - NOR
4번 - XOR","정답은 XOR입니다. XOR 문제는 단층 퍼셉트론으로는 해결할 수 없으며, 이를 해결하기 위해 다층 퍼셉트론이 필요합니다.",4
gpt-4,./data/data_BDA.json,로지스틱 회귀 모형에 대한 설명으로 옳은 것은?,"선택지:
1번 - 설명변수가 한 개인 경우 종형 그래프를 가진다.
2번 - 설명변수는 모두 연속형이어야 한다.
3번 - 연속형 반응변수에 대해서도 적용할 수 있다.
4번 - 분류의 목적으로 사용될 수 있다.",4. 분류의 목적으로 사용될 수 있다.,4
gpt-4,./data/data_BDA.json,딥러닝에 대한 설명으로 옳은 것은?,"선택지:
1번 - 오차역전파를 사용한다.
2번 - ReLU보다 Sigmoid를 사용한다.
3번 - 딥러닝은 각 은닉층의 가중치를 통해 모형의 결과를 해석하기 용이하다.
4번 - Dropout은 무작위 비율로 신경망을 제거한다.",1번 선택지: 오차역전파를 사용한다.,1
gpt-4,./data/data_BDA.json,PCA에 대한 설명으로 옳지 않은 것은?,"선택지:
1번 - 차원 축소는 고윳값이 낮은 순으로 정렬해서, 높은 고윳값을 가진 고유벡터만으로 데이터를 복원한다.
2번 - 변동 폭이 작은 축을 선택한다.
3번 - 축들은 서로 직교되어 있다.
4번 - 주성분은 상관성이 높은 변수들을 요약, 축소하는 기법이다.","1. 차원 축소는 고윳값이 낮은 순으로 정렬해서, 높은 고윳값을 가진 고유벡터만으로 데이터를 복원한다.",2
gpt-4,./data/data_BDA.json,"CNN에서 원본 이미지가 5X5에서 Stride가 1이고, 필터가 3X3일 때 Feature Map은 무엇인가?","선택지:
1번 - (1,1)
2번 - (2,2)
3번 - (3,3)
4번 - (4,4)","정답은 (3,3)입니다. CNN에서 Stride가 1이고, 필터가 3X3일 때, 5X5 원본 이미지는 3X3 Feature Map으로 변환됩니다. 이는 각 차원에서 필터 크기를 뺀 후 1을 더한 값과 동일하기 때문입니다.",3
gpt-4,./data/data_BDA.json,랜덤 포레스트에 대한 설명으로 적절하지 않은 것은?,"선택지:
1번 - 훈련을 통해 구성해놓은 다수의 나무들로부터 투표를 통해 분류 결과를 도출한다.
2번 - 분류기를 여러 개 쓸수록 성능이 좋아진다.
3번 - 트리의 수가 많아지면 Overfit 된다.
4번 - 여러 개의 의사결정 트리가 모여서 랜덤 포레스트 구조가 된다.","정답은 3번, ""트리의 수가 많아지면 Overfit 된다.""입니다. 랜덤 포레스트는 각각의 트리가 독립적으로 학습되고 예측을 진행하기 때문에 트리의 수가 많아져도 Overfit의 문제가 발생하지 않습니다. 오히려 트리의 수가 많아질수록 모델의 성능이 향상될 가능성이 있습니다. 이것은 랜덤 포레스트의 큰 장점 중 하나입니다.",3
gpt-4,./data/data_BDA.json,"다음 중 훈련 데이터에서 다수의 부트스트랩(Bootstrap)자료를 생성하고, 각 자료를 모델링한 후 결합하여 최종 예측 모형을 만드는 앙상블 기법으로 가장 알맞은 것은?","선택지:
1번 - 배깅
2번 - 부스팅
3번 - 보팅
4번 - 의사결정나무",정답은 배깅입니다.,1
gpt-4,./data/data_BDA.json,다음 중 은닉층이 순환적으로 연결된 것은 무엇인가?,"선택지:
1번 - CNN
2번 - ANN
3번 - RNN
4번 - DNN",정답은 RNN입니다. 은닉층이 순환적으로 연결된 것이 RNN(Recurrent Neural Network)의 특징입니다.,3
gpt-4,./data/data_BDA.json,다음 중 심층신경망에 대한 설명으로 가장 알맞지 않은 것은 무엇인가?,"선택지:
1번 - 은닉층이 1개 존재한다.
2번 - 오차 역전파를 사용한다.
3번 - 시그모이드는 오차 역전파로 결과 해석이 어렵다.
4번 - 은닉층(Hidden Layer)를 심층(Deep)으로 구성한다.","1번 선택지: ""은닉층이 1개 존재한다.""가 가장 알맞지 않습니다. 심층신경망(Deep Neural Network)는 여러개의 은닉층을 가지고 있는 복잡한 신경망을 의미합니다. 따라서, 은닉측이 1개만 존재하는 경우는 심층신경망을 정의하지 않습니다.",1
gpt-4,./data/data_BDA.json,배깅에 대한 설명으로 알맞지 않은 것은?,"선택지:
1번 - 편향이 낮은 과소적합 모델에 효과적이다.
2번 - 편향이 높은 과대적합 모델에 효과적이다.
3번 - 훈련 데이터에서 다수의 부트스트랩 자료를 생성하고 각 부트스트랩 자료를 결합하여 최종 예측 모형을 만드는 알고리즘이다.
4번 - 가중치를 활용하여 약 분류기를 강 분류기로 만드는 방법이다.",1번 선택지가 배깅에 대한 설명으로 알맞지 않습니다. 배깅은 과소적합 모델에 대해 효과적이라기보다는 과대적합 모델에 효과적입니다. 과소적합 모델은 이미 편향이 높기 때문에 배깅 테크닉이 큰 효과를 내지 못할 것입니다.,4
gpt-4,./data/data_BDA.json,차원 축소 기법인 PCA(Principal Component Analysis)에 대한 설명으로 가장 올바르지 않은 것은?,"선택지:
1번 - 선형 결합한다.
2번 - 변동이 큰 축을 기준으로 한 차원씩 선택한다.
3번 - 이산형 변수에 사용할 수 있다.
4번 - 차원 축소를 통해 원본 데이터를 직관적으로 파악할 수 있다.",3. 이산형 변수에 사용할 수 있다.,4
